,Close,30 days,Percent,Impl. Rate,Previous Impl. Rate,Effective Annual Rate,Impl. Rate 30d
Spot,95.44,94.50198830409305,-0.061988304093048896,,,,
DOJun21,96.0,97.1651851851853,-2.165185185185294,0.3569432802458785,0.3022557895363506,0.42746503078141385,0.36123043592030957
DOJul21,98.38,99.68276803118898,-2.3027680311889895,0.3123253702151431,0.312564550027783,0.3601723102544674,0.31158799551553784
DOAgo21,101.19,102.48329434697858,-2.293294346978584,0.3233861126177211,0.3210538800791448,0.3689156728748091,0.3181636837791171
DOSep21,104.18,105.56525341130572,-2.385253411305712,0.34107335306293557,0.3390907540376149,0.38589856728304106,0.33082686278148543
DOOct21,107.3,108.79730994152034,-2.497309941520342,0.3571440357465795,0.3561755961058761,0.4002292458739014,0.3414022594683388
DONov21,110.65,112.7232309941522,-3.0732309941521976,0.36584280947033826,0.37632093812824186,0.404188906224775,0.3443068158582152
DODic21,114.75,117.30763742690043,-3.5576374269004276,0.38867902677901806,0.40402559170392854,0.4247116643989308,0.3592417636013483
DOEne22,118.0,122.54020467836227,-5.540204678362272,0.3903995023762294,0.4348819349964078,0.41969823651417526,0.3556116532263207
DOFeb22,124.0,127.41169590643334,-4.411695906433337,0.43865318777204376,0.45885607172553483,0.46776272749920156,0.3899408762208525
DOMar22,129.5,132.87456140350943,-4.374561403509432,0.46521000478984564,0.4811768113326269,0.488587932067053,0.404495918326357
DOAbr22,131.1,,,0.4413521974191413,,0.45498601721135534,0.3809170626481624
DOMay22,135.0,,,0.4436743663550576,,0.44944915778066274,0.3769839633699279
